circuitRef,name,location,country,lat,lon
galvez,Autodromo Juan y Oscar Galvez,Buenos Aires,Argentina,-34.6943,-58.4593
monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347
reims,Reims-Gueux,Reims,France,49.2542,3.93083
aintree,Aintree,Liverpool,UK,53.4769,-2.94056
nurburgring,Nurburgring,Nurburg,Germany,50.3356,6.9475
pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
