circuitRef,name,location,country,lat,lon
bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194
indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
reims,Reims-Gueux,Reims,France,49.2542,3.93083
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
nurburgring,Nurburgring,Nurburg,Germany,50.3356,6.9475
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667
