circuitRef,name,location,country,lat,lon
monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458
brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056
nurburgring,Nurburgring,Nurburg,Germany,50.3356,6.9475
zeltweg,Zeltweg,Styria,Austria,47.2039,14.7478
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272
rodriguez,Autodromo Hermanos Rodriguez,Mexico City,Mexico,19.4042,-99.0907
