circuitRef,name,location,country,lat,lon
george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736
monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
nurburgring,Nurburgring,Nurburg,Germany,50.3356,6.9475
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272
rodriguez,Autodromo Hermanos Rodriguez,Mexico City,Mexico,19.4042,-99.0907
